,"{namespace=""test-gchg2q-1""}"
2023-12-20 21:40:46,16.405866666666665
2023-12-20 21:41:46,10776.027484425524
2023-12-20 21:42:46,39855.23424788977
2023-12-20 21:43:46,85678.66849642819
2023-12-20 21:44:46,130127.51615200356
2023-12-20 21:45:46,160862.3138513724
2023-12-20 21:46:46,185281.76023834996
2023-12-20 21:47:46,203761.93817977534
2023-12-20 21:48:46,215869.90126059885
2023-12-20 21:49:46,222187.4108431974
2023-12-20 21:50:46,222702.38422042178
2023-12-20 21:51:46,221742.71910844988
2023-12-20 21:52:46,221202.81048094184
2023-12-20 21:53:46,220757.81948238227
2023-12-20 21:54:46,220384.32523765785
2023-12-20 21:55:46,220066.3247568466
2023-12-20 21:56:46,219792.27009807242
2023-12-20 21:57:46,219553.61153563188
2023-12-20 21:58:46,219343.9086407047
2023-12-20 21:59:46,219158.16521431317
2023-12-20 22:00:46,218992.50192997168
2023-12-20 22:01:46,218843.81450270148
2023-12-20 22:02:46,218709.62643610517
2023-12-20 22:03:46,218587.90258905658
2023-12-20 22:04:46,218476.9928233221
2023-12-20 22:05:46,218375.50689755334
2023-12-20 22:06:46,218282.29428762235
2023-12-20 22:07:46,218196.3800290523
2023-12-20 22:08:46,218116.94350973496
