,"{namespace=""cluster-loader""}","{namespace=""test-gchg2q-1""}"
2023-12-20 21:40:46,0.0,34.21013333333333
2023-12-20 21:41:46,0.0,765.0935793718169
2023-12-20 21:42:46,12.875466666666664,9987.937125974035
2023-12-20 21:43:46,12.625333333333334,9303.040614785661
2023-12-20 21:44:46,24.97274074074074,30903.410690748515
2023-12-20 21:45:46,37.19381818181819,57795.91915112943
2023-12-20 21:46:46,37.01015384615384,55839.48287218363
2023-12-20 21:47:46,36.87546666666667,55299.13743669274
2023-12-20 21:48:46,36.772470588235294,55261.83353679093
2023-12-20 21:49:46,36.69115789473685,55282.681871076544
2023-12-20 21:50:46,36.62533333333333,55376.66988225542
2023-12-20 21:51:46,36.570956521739134,54988.413901856635
2023-12-20 21:52:46,36.52528,54781.07689340272
2023-12-20 21:53:46,36.48637037037037,54627.57711604274
2023-12-20 21:54:46,36.4528275862069,54505.94435150556
2023-12-20 21:55:46,36.4236129032258,54406.23361051201
2023-12-20 21:56:46,36.397939393939396,54322.63396665436
2023-12-20 21:57:46,36.3752,54251.35730308065
2023-12-20 21:58:46,36.35491891891892,54189.77832333536
2023-12-20 21:59:46,36.33671794871795,54135.98929980216
2023-12-20 22:00:46,36.320292682926826,54088.57185004973
2023-12-20 22:01:46,36.30539534883721,54046.435102290525
2023-12-20 22:02:46,36.29182222222222,54008.73363630181
2023-12-20 22:03:46,36.27940425531915,53974.79007915787
2023-12-20 22:04:46,36.268,53944.067243788195
2023-12-20 22:05:46,36.25749019607843,53916.120112250464
2023-12-20 22:06:46,36.24777358490566,53890.58663408915
2023-12-20 22:07:46,36.238763636363636,53867.16407419454
2023-12-20 22:08:46,40.26053567251462,54446.72411550251
