,"{code=""403""}","{code=""404""}","{code=""409""}"
2023-12-20 23:09:54,,13.622222222222222,
2023-12-20 23:10:54,0.17777777777777776,12.888888888888888,
2023-12-20 23:11:54,,16.666666666666668,0.04444444444444444
2023-12-20 23:12:54,0.6666666666666666,,0.711111111111111
2023-12-20 23:13:54,,,1.8666666666666667
2023-12-20 23:14:54,,,6.022222222222222
2023-12-20 23:15:54,,,3.466666666666667
2023-12-20 23:17:54,,,0.4
2023-12-20 23:19:54,,0.2,0.08888888888888888
2023-12-20 23:20:54,,0.9111111111111111,
2023-12-20 23:23:54,0.13333333333333333,,0.04444444444444444
2023-12-20 23:24:54,0.6666666666666666,,
2023-12-20 23:29:54,,0.13333333333333333,
2023-12-20 23:30:54,,0.7777777777777778,
2023-12-20 23:32:54,,0.02222222222222222,
2023-12-20 23:33:54,,,0.4
2023-12-20 23:37:54,,0.02222222222222222,
2023-12-20 23:39:54,,0.11112098853231397,
2023-12-20 23:40:54,,1.0444444444444445,
2023-12-20 23:41:54,,0.02222222222222222,
