,"{namespace=""test-b1r1ac-1""}"
2023-12-21 16:56:55,0.0
2023-12-21 16:57:55,6634.874541446184
2023-12-21 16:58:55,23810.192498644752
2023-12-21 16:59:55,49174.491836961184
2023-12-21 17:00:55,66528.40214853277
2023-12-21 17:01:55,77842.96655430851
2023-12-21 17:02:55,83293.31945385836
2023-12-21 17:03:55,83318.2652873434
2023-12-21 17:04:55,82709.08549235972
2023-12-21 17:05:55,82314.0051997776
2023-12-21 17:06:55,82011.55864215612
2023-12-21 17:07:55,81772.41157471834
2023-12-21 17:08:55,81578.48679319436
2023-12-21 17:09:55,81418.01744595986
2023-12-21 17:10:55,81283.0059755442
2023-12-21 17:11:55,81167.8229304933
2023-12-21 17:12:55,81068.38842803446
2023-12-21 17:13:55,80981.67254170439
2023-12-21 17:14:55,80905.37713978908
2023-12-21 17:15:55,80837.72723953582
2023-12-21 17:16:55,80777.32988239627
2023-12-21 17:17:55,80723.07664212931
2023-12-21 17:18:55,80674.07411304022
2023-12-21 17:19:55,80629.59441277299
2023-12-21 17:20:55,80589.03833528096
2023-12-21 17:21:55,80551.90813355254
