,"{namespace=""cluster-loader""}","{namespace=""test-kxkpym-1""}"
2023-12-21 07:25:56,175.0,21145.0
2023-12-21 07:26:56,189.0,63850.0
2023-12-21 07:27:56,198.0,116333.0
2023-12-21 07:28:56,202.0,175437.0
2023-12-21 07:29:56,206.0,233210.0
2023-12-21 07:30:56,210.0,280203.0
2023-12-21 07:31:56,210.0,319426.0
2023-12-21 07:32:56,210.0,352190.0
2023-12-21 07:33:56,214.0,375449.0
2023-12-21 07:34:56,214.0,375825.0
2023-12-21 07:35:56,214.0,413395.0
2023-12-21 07:36:56,235.0,533807.0
2023-12-21 07:37:56,249.0,643504.0
2023-12-21 07:38:56,275.0,736167.0
2023-12-21 07:39:56,288.0,818293.0
2023-12-21 07:40:56,299.0,884829.0
2023-12-21 07:41:56,303.0,940137.0
2023-12-21 07:42:56,308.0,981373.0
2023-12-21 07:43:56,315.0,1010635.0
2023-12-21 07:44:56,315.0,1027069.0
2023-12-21 07:45:56,315.0,1031099.0
2023-12-21 07:46:56,315.0,1032674.0
2023-12-21 07:47:56,315.0,1034224.0
2023-12-21 07:48:56,318.0,1035739.0
2023-12-21 07:49:56,321.0,1037270.0
2023-12-21 07:50:56,321.0,1038852.0
2023-12-21 07:51:56,321.0,1040425.0
2023-12-21 07:52:56,321.0,1041990.0
2023-12-21 07:53:56,321.0,1043496.0
2023-12-21 07:54:56,321.0,1045116.0
2023-12-21 07:55:56,321.0,1046653.0
2023-12-21 07:56:56,321.0,1048253.0
2023-12-21 07:57:56,321.0,1049804.0
2023-12-21 07:58:56,321.0,1051391.0
2023-12-21 07:59:56,321.0,1052952.0
2023-12-21 08:00:56,321.0,1054607.0
2023-12-21 08:01:56,321.0,1056144.0
2023-12-21 08:02:56,321.0,1057864.0
2023-12-21 08:03:56,321.0,1060727.0
2023-12-21 08:04:56,324.0,1064690.0
2023-12-21 08:05:56,324.0,1070113.0
2023-12-21 08:06:56,324.0,1076563.0
2023-12-21 08:07:56,329.0,1084139.0
2023-12-21 08:08:56,329.0,1093108.0
2023-12-21 08:09:56,329.0,1102538.0
2023-12-21 08:10:56,329.0,1111218.0
2023-12-21 08:11:56,335.0,1123396.0
2023-12-21 08:12:56,335.0,1135830.0
2023-12-21 08:13:56,335.0,1144348.0
2023-12-21 08:14:56,335.0,1150650.0
2023-12-21 08:15:56,338.0,1155804.0
2023-12-21 08:16:56,343.0,1159747.0
2023-12-21 08:17:56,343.0,1162269.0
2023-12-21 08:18:56,343.0,1163825.0
2023-12-21 08:19:56,343.0,1165202.0
2023-12-21 08:20:56,343.0,1166606.0
2023-12-21 08:21:56,343.0,1167998.0
2023-12-21 08:22:56,343.0,1169214.0
2023-12-21 08:23:56,343.0,1170633.0
2023-12-21 08:24:56,343.0,1172031.0
2023-12-21 08:25:56,343.0,1173429.0
2023-12-21 08:26:56,343.0,1174866.0
2023-12-21 08:27:56,343.0,1176252.0
