,"{resource=""apiServerIPInfo""}","{resource=""clusterrolebindings.rbac.authorization.k8s.io""}","{resource=""clusterroles.rbac.authorization.k8s.io""}","{resource=""configmaps""}","{resource=""daemonsets.apps""}","{resource=""deployments.apps""}","{resource=""endpoints""}","{resource=""events""}","{resource=""mutatingwebhookconfigurations.admissionregistration.k8s.io""}","{resource=""namespaces""}","{resource=""nodes""}","{resource=""poddisruptionbudgets.policy""}","{resource=""pods""}","{resource=""replicasets.apps""}","{resource=""secrets""}","{resource=""serviceaccounts""}","{resource=""services""}","{resource=""validatingwebhookconfigurations.admissionregistration.k8s.io""}"
2023-12-21 04:17:29,0.08454,,,,,,,,,,,,,,,,,
2023-12-21 04:18:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:19:29,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,,0.04444444444444444,
2023-12-21 04:20:29,0.08888888888888888,,,,,,,,,,11.2,,56.35555555555555,,,,0.26666666666666666,
2023-12-21 04:21:29,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,,,,0.06666666666666667
2023-12-21 04:22:29,0.08816787162757891,,,,,,,,,,,,,,,,,
2023-12-21 04:23:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:24:29,0.08888888888888888,,,,,,,,,,,,,,0.17777777777777776,,,
2023-12-21 04:25:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:26:29,0.08888888888888888,1.5777777777777777,,,,,,,0.06666666666666667,,,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 04:27:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:28:29,0.08888888888888888,,,,,,0.04444444444444444,,,0.2,,0.06666666666666667,,0.2,0.17777777777777776,,0.04444444444444444,
2023-12-21 04:29:29,0.08888888888888888,,,,,,,1588.888888888889,,,,,,,,,0.26666666666666666,
2023-12-21 04:30:29,0.08888888888888888,,1.8666666666666667,,,,,6550.066666666667,,,,,,,,,,
2023-12-21 04:31:29,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,,,,0.06666666666666667
2023-12-21 04:32:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:33:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:34:29,0.08888098835659054,,,,,,,,,,,,,,,,,
2023-12-21 04:35:29,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,22.4,0.06666666666666667,634.1333333333333,0.2,0.17777777777777776,1.2,0.31111111111111106,
2023-12-21 04:36:29,0.08888888888888888,,,,,,,,0.06666666666666667,,,,,,,,,0.06666666666666667
2023-12-21 04:37:29,0.08888888888888888,1.5777777777777777,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,,0.04444444444444444,
2023-12-21 04:38:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:39:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:40:29,0.08890469416785206,,,,,,,,,,,,,,,,,
2023-12-21 04:41:29,0.08888888888888888,,,,,,,388.88888888888886,0.06666666666666667,,,,,,,,0.26666666666666666,0.06666666666666667
2023-12-21 04:42:29,0.08888888888888888,1.5777777777777777,,,,,,,,,11.2,,,,,,,
2023-12-21 04:43:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:44:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:45:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:46:29,0.08888888888888888,,,0.24444444444444444,0.2,0.13333333333333333,0.04444444444444444,,0.06666666666666667,0.2,,0.06666666666666667,56.35555555555555,0.2,0.17777777777777776,,0.04444444444444444,0.06666666666666667
2023-12-21 04:47:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:48:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:49:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:50:29,0.08888888888888888,,,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:51:29,0.08888888888888888,,1.8666666666666667,,,,,,0.06666666666666667,,,,,,,,,0.06666666666666667
2023-12-21 04:52:29,0.08888888888888888,,,,,,,,,,,,,,,,,
2023-12-21 04:53:29,0.08888888888888888,,1.8666666666666667,,,,,,,,,,,,,,0.26666666666666666,
2023-12-21 04:54:29,0.08888888888888888,,,,,,,,,,,,,,,,,
