,"{container=""coredns"",pod=""coredns-6c6c58959d-2kvqn""}","{container=""coredns"",pod=""coredns-6c6c58959d-5ndxq""}"
2023-08-26 01:13:52,1000.0,1000.0
2023-08-26 01:14:52,1000.0,1000.0
2023-08-26 01:15:52,,1000.0
2023-08-26 01:16:52,1000.0,1000.0
2023-08-26 01:17:52,1000.0,1000.0
2023-08-26 01:18:52,1000.0,
2023-08-26 01:19:52,1000.0,1000.0
2023-08-26 01:20:52,1000.0,1000.0
2023-08-26 01:21:52,1000.0,1000.0
2023-08-26 01:22:52,1000.0,1000.0
2023-08-26 01:23:52,1000.0,1000.0
2023-08-26 01:24:52,1000.0,1000.0
2023-08-26 01:25:52,1000.0,1000.0
2023-08-26 01:26:52,1000.0,1000.0
2023-08-26 01:27:52,1000.0,
2023-08-26 01:28:52,,1000.0
2023-08-26 01:29:52,1000.0,1000.0
2023-08-26 01:30:52,1000.0,1000.0
2023-08-26 01:31:52,1000.0,
2023-08-26 01:32:52,,1000.0
2023-08-26 01:33:52,1000.0,1000.0
